LogEntrySeconds,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Напряжение датчика кислорода 2 ( В),Положение дроссельной заслонки ( %),Величина отскока УОЗ при детонации ( °ПКВ)
1,12.4,27.75,0.0,1240.0,-5.25,0.0,0.52,0.52,6.49,0.0
2,12.4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.52,6.54,0.0
2,12.4,27.75,0.0,1240.0,-5.25,0.0,0.52,0.52,6.49,0.0
3,12.4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.52,6.49,0.0
3,12.4,27.75,0.0,1240.0,-5.25,0.0,0.52,0.52,6.54,0.0
4,12.4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.52,6.49,0.0
4,12.4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.52,6.54,0.0
4,12.4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.52,6.54,0.0
5,12.4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.52,6.54,0.0
5,12.4,27.75,0.0,1240.0,-5.25,0.0,0.52,0.52,6.54,0.0
6,12.4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.52,6.49,0.0
6,12.4,27.75,0.0,1240.0,-5.25,0.0,0.52,0.52,6.54,0.0
6,12.4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.52,6.54,0.0
7,12.4,27.75,0.0,1240.0,-5.25,0.0,0.52,0.52,6.54,0.0
7,12.4,27.75,0.0,1240.0,-5.25,0.0,0.52,0.52,6.49,0.0
8,12.4,27.75,0.0,1240.0,-5.25,0.0,0.52,0.52,6.54,0.0
8,10.6,27.75,159.0,1240.0,-5.25,0.0,0.51,0.51,7.3,0.0
8,11.0,27.75,252.0,1240.0,-4.5,22.342,0.51,0.51,7.35,0.0
9,12.1,27.75,1335.0,1240.0,-3.75,7.59,0.52,0.52,7.35,0.0
9,12.3,27.75,1405.0,1240.0,-2.25,5.504,0.52,0.52,7.35,0.0
10,12.6,27.75,1367.0,1240.0,0.0,5.459,0.52,0.52,7.35,0.0
10,13.0,27.75,1332.0,1240.0,2.25,5.466,0.52,0.52,7.35,0.0
10,13.8,27.75,1306.0,1240.0,0.75,5.626,0.51,0.52,7.3,0.0
11,13.9,27.75,1297.0,1240.0,-0.75,5.651,0.51,0.52,7.3,0.0
13,14.0,27.75,1252.0,1240.0,0.0,5.114,0.51,0.52,6.86,0.0
14,14.0,27.75,1241.0,1240.0,2.25,5.069,0.52,0.52,6.86,0.0
14,14.0,27.75,1245.0,1240.0,2.25,4.89,0.52,0.52,6.86,0.0
15,14.0,27.75,1229.0,1240.0,2.25,4.813,0.51,0.52,6.79,0.0
15,14.0,27.75,1229.0,1240.0,2.25,4.685,0.51,0.52,6.79,0.0
16,14.0,27.75,1232.0,110.0,3.75,4.672,0.0,0.96,6.74,0.0
16,14.0,27.75,1232.0,1240.0,3.75,4.576,0.52,0.52,6.74,0.0
17,14.0,27.75,1232.0,1240.0,3.75,4.538,0.51,0.52,6.74,0.0
17,14.0,27.75,1223.0,1240.0,3.75,4.538,0.52,0.51,6.69,0.0
17,14.0,28.5,1219.0,1240.0,5.25,4.525,0.51,0.52,6.69,0.0
18,14.0,28.5,1220.0,1240.0,5.25,4.461,0.51,0.52,6.69,0.0
18,14.0,28.5,1222.0,1240.0,4.5,4.448,0.52,0.52,6.62,0.0
19,14.0,28.5,1224.0,1240.0,3.0,4.467,0.51,0.52,6.69,0.0
19,14.0,28.5,1225.0,1240.0,4.5,4.378,0.52,0.51,6.62,0.0
19,14.0,28.5,1230.0,1240.0,3.75,4.301,0.51,0.51,6.62,0.0
