LogEntrySeconds,Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Положение педали газа ( %),Положение дроссельной заслонки ( %),Скорость автомобиля ( км/час),Флаг нажатия педали сцепления (-),Величина отскока УОЗ при детонации ( °ПКВ),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-)
1,27.75,0.0,1240.0,-5.25,0.0,0.52,0.0,6.49,0.0,0.0,0.0,,,,
2,27.75,0.0,1240.0,-5.25,0.0,0.51,0.0,6.54,0.0,0.0,0.0,,,,
2,27.75,0.0,1240.0,-5.25,0.0,0.52,0.0,6.49,0.0,0.0,0.0,,,,
3,27.75,0.0,1240.0,-5.25,0.0,0.51,0.0,6.49,0.0,0.0,0.0,,,,
3,27.75,0.0,1240.0,-5.25,0.0,0.52,0.0,6.54,0.0,0.0,0.0,,,,
4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.0,6.49,0.0,0.0,0.0,,,,
4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.0,6.54,0.0,0.0,0.0,,,,
4,27.75,0.0,1240.0,-5.25,0.0,0.51,0.0,6.54,0.0,0.0,0.0,,,,
5,27.75,0.0,1240.0,-5.25,0.0,0.51,0.0,6.54,0.0,0.0,0.0,,,,
5,27.75,0.0,1240.0,-5.25,0.0,0.52,0.0,6.54,0.0,0.0,0.0,,,,
6,27.75,0.0,1240.0,-5.25,0.0,0.51,0.0,6.49,0.0,0.0,0.0,,,,
6,27.75,0.0,1240.0,-5.25,0.0,0.52,0.0,6.54,0.0,0.0,0.0,,,,
6,27.75,0.0,1240.0,-5.25,0.0,0.51,0.0,6.54,0.0,0.0,0.0,,,,
7,27.75,0.0,1240.0,-5.25,0.0,0.52,0.0,6.54,0.0,0.0,0.0,,,,
7,27.75,0.0,1240.0,-5.25,0.0,0.52,0.0,6.49,0.0,0.0,0.0,,,,
8,27.75,0.0,1240.0,-5.25,0.0,0.52,0.0,6.54,0.0,0.0,0.0,,,,
8,27.75,159.0,1240.0,-5.25,0.0,0.51,0.0,7.3,0.0,0.0,0.0,,,,
8,27.75,252.0,1240.0,-4.5,22.342,0.51,0.0,7.35,0.0,0.0,0.0,,,,
9,27.75,1335.0,1240.0,-3.75,7.59,0.52,0.0,7.35,0.0,0.0,0.0,,,,
9,27.75,1405.0,1240.0,-2.25,5.504,0.52,0.0,7.35,0.0,0.0,0.0,,,,
10,27.75,1367.0,1240.0,0.0,5.459,0.52,0.0,7.35,0.0,0.0,0.0,,,,
10,27.75,1332.0,1240.0,2.25,5.466,0.52,0.0,7.35,0.0,0.0,0.0,,,,
10,27.75,1306.0,1240.0,0.75,5.626,0.51,0.0,7.3,0.0,0.0,0.0,,,,
11,27.75,1297.0,1240.0,-0.75,5.651,0.51,0.0,7.3,0.0,0.0,0.0,,,,
13,27.75,1252.0,1240.0,0.0,5.114,0.51,0.0,6.86,0.0,0.0,0.0,,,,
14,27.75,1241.0,1240.0,2.25,5.069,0.52,0.0,6.86,0.0,0.0,0.0,,,,
14,27.75,1245.0,1240.0,2.25,4.89,0.52,0.0,6.86,0.0,0.0,0.0,,,,
15,27.75,1229.0,1240.0,2.25,4.813,0.51,0.0,6.79,0.0,0.0,0.0,,,,
15,27.75,1229.0,1240.0,2.25,4.685,0.51,0.0,6.79,0.0,0.0,0.0,,,,
16,27.75,1232.0,1240.0,3.75,4.576,0.52,0.0,6.74,0.0,0.0,0.0,,,,
17,27.75,1232.0,1240.0,3.75,4.538,0.51,0.0,6.74,0.0,0.0,0.0,,,,
17,27.75,1223.0,1240.0,3.75,4.538,0.52,0.0,6.69,0.0,0.0,0.0,,,,
17,28.5,1219.0,1240.0,5.25,4.525,0.51,0.0,6.69,0.0,0.0,0.0,,,,
