LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,LogNotes,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Скорость автомобиля ( км/час),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Положение дроссельной заслонки ( %),Положение педали газа ( %),Относительное заполнение воздухом ( %),Желаемое значение коэффициента лямбда (-),Напряжение датчика кислорода 1 ( В),Период сигнала датчика кислорода 1 ( с),Напряжение датчика кислорода 2 ( В),Текущий коэффициент коррекции длительности впрыска топлива (-),Фактор высотной коррекции (-),Адаптированное отклонение расхода воздуха во впускном колекторе мимо дросселя ( кг),Мультипликативная составляющая коррекции смеси самообучением (-),I-часть регулирования по датчику кислорода 2 (-),Фактор старения нейтрализатора (-),Расход топлива ( л/час),Температура впускного воздуха ( °С),Коэффициент продувки адсорбера ( %),Концентрация топлива в адсорбере (-),Величина отскока УОЗ при детонации ( °ПКВ),Желаемые обороты холостого хода ( об/мин),Разница крутящего момента от адаптированного крутящего момента ( %),Нормальная утечка воздуха через дроссель (-),Потребность в моменте для регулирования ХХ: I-часть ( %),Потребность в моменте для регулирования ХХ: PD-часть ( %),Температура охлаждающей жидкости при пуске ( °С),Проверка нейтрализатора завершена (-),Проверка системы улавливания паров бензина завершена (-),Проверка первого датчика кислорода завершена (-),Проверка второго датчика кислорода завершена (-),Контроллер обучен (-),Контроллер заблокирован (-),Запуск с обходом возможен (-),Пароль обхода запрограммирован (-),Ошибка связи с иммобилизатором (-),Быстрый старт разрешен (-),Реле бензонасоса (-),Флаг нажатия педали тормоза 2 (-),Флаг нажатия педали сцепления (-),Запрос на включение кондиционера (-),Реле кондиционера включено (-),Флаг высокого давления в системе кондиционера (-),Реле вентилятора охлаждения 1 (-),Реле вентилятора охлаждения 2 (-),Холостой ход (-),Признак обогащения по мощности  (-),Продувка адсорбера активирована (-),Готовность датчика кислорода 1 (-),Флаг обратной связи по датчику кислорода 1 (-),Готовность датчика кислорода 2 (-),Обратная связь по датчику кислорода 2 (-),Признак разрешения адаптации топливоподачи (-),Отсечка топливоподачи (-),Контроль детонации активен (-),Динамический счетчик не равен нулю (-),Обнаружение пропусков зажигания приостановлено (-),Признак обнаружения неровной дороги (-),Флаг нажатия педали тормоза 1 (-),Регистрация активна (-),Лампа индикации неисправностей (-),Время работы (-),Контрольная сумма ПЗУ (-),АБС присутствует (-),ESP присутствует (-),АКПП присутствует (-),ЦБКЭ присутствует (-),Круиз-контроль присутствует (-),Датчик скорости автомобиля присутствует (-),Окончание обучения электронных устройств (-),Клапан управления длиной каналов системы впуска (-),Доп. реле стартера (-),Цикловое наполнение по датчику абсолютного давления во впускном коллекторе ( мг/ц),Измеренное давление во впускном коллекторе ( мБар),Параметр адаптации демпфера в диапазоне 1  ( °),Параметр адаптации демпфера в диапазоне 2 ( °),Параметр адаптации демпфера в диапазоне 3 ( °),Параметр адаптации демпфера в диапазоне 4 ( °),Счетчик пропусков воспламенения для цилиндра 1. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 3. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 4. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 2. влияющих на токсичность (-),Суммарный счетчик пропусков воспламенения. влияющих на работу нейтрализатора (-),Запрет распознавания. обороты меньше минимальных (-),Запрет распознавания. обороты больше максимальных (-),Запрет распознавания. изменение нагрузки (-),Запрет распознавания. изменение динамики двигателя (-),Запрет распознавания. нагрузка меньше порога (-),Условия отключения топливоподачи (-),Распознавание пропусков воспламенения приостановлено (-),Обучение в диапазоне 1 завершено (-),Обучение в диапазоне 2 завершено (-),Обучение в диапазоне 3 завершено (-),Обучение в диапазоне 4 завершено (-),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-),Относительный уровень регулировки по детонации в цилиндре 1 (В),Относительный уровень регулировки по детонации в цилиндре 3 (В),Относительный уровень регулировки по детонации в цилиндре 4 (В),Относительный уровень регулировки по детонации в цилиндре 2 (В),Отскок угла опережения зажигания при детонации для цилиндра 1 ( °),Отскок угла опережения зажигания при детонации для цилиндра 3 ( °),Отскок угла опережения зажигания при детонации для цилиндра 4 ( °),Отскок угла опережения зажигания при детонации для цилиндра 2 ( °),Базовый угол опережения зажигания ( °),Максимальная задержка УОЗ ( °),АЦП Бортовое напряжение (В),АЦП Датчик температуры охлаждающей жидкости (В),АЦП Датчик температуры воздуха во впускном коллекторе (В),АЦП Напряжение датчика абсолютного давления во впускном коллекторе (В),АЦП Датчик положения дроссельной заслонки 1 (В),АЦП Датчик положения дроссельной заслонки 2 (В),АЦП Датчик положения педали газа 1 (В),АЦП Датчик положения педали газа 2 (В),АЦП Датчик кислорода 1 (В),АЦП Сопротивление датчика кислорода 1 (Ом),АЦП Датчик кислорода 2 (В),АЦП Сопротивление датчика кислорода 2 (Ом),АЦП Датчик детонации (В),АЦП Напряжение средней точки вентиляторов охлаждения (В),DFM Сигнал с генератора (-),Сигнал LT генератора (-),Сигнал с датчика давления масла (-),Круиз-конторль/ограничитель скорости разрешен (-),Круиз-конторль/ограничитель скорости активен (-),Круиз-конторль/ограничитель скорости вход 1 (-),Круиз-конторль/ограничитель скорости вход 2 (-),температура генератора ( °C),обороты генератора ( об/мин),
0,,,1,810,,12.50,44.25,0,0.0,-5.250,0.000,6.54,0.000,98.27,1.00,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,30.8,0.000,0.694,0.000,870,6.89,4.6,0.00,0.00,44.3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5155.7,0C,1,1,0,1,1,0,1,0,1,600.00,1017.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2,212,,12.50,44.25,0,0.0,-5.250,0.000,6.62,0.000,98.27,1.00,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,30.8,0.000,0.694,0.000,870,6.89,4.6,0.00,0.00,44.3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5155.7,0C,1,1,0,1,1,0,1,0,1,600.00,1017.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,601,,12.50,44.25,0,0.0,-5.250,0.000,6.62,0.000,98.27,1.00,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,30.8,0.000,0.694,0.000,870,6.89,4.6,0.00,0.00,44.3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5155.7,0C,1,1,0,1,1,0,1,0,1,600.00,1017.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,3,007,,12.50,44.25,0,0.0,-5.250,0.000,6.54,0.000,98.27,1.00,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,30.8,0.000,0.694,0.000,870,6.89,4.6,0.00,0.00,44.3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5155.7,0C,1,1,0,1,1,0,1,0,1,600.00,1017.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,3,408,,12.50,44.25,0,0.0,-5.250,0.000,3.13,39.960,620.98,0.50,0.00,-1.34,0.69,0.007,0.00,0.04,0.000,0.01,0.45,0.187,-42.0,82.423,0.719,0.000,0,0.38,128.3,0.00,-43.38,112.5,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,5471.8,96,0,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,3,792,,12.50,44.25,0,0.0,-5.250,0.000,6.54,0.000,98.27,1.00,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,30.8,0.000,0.694,0.000,0,0.38,128.3,0.00,-43.38,112.5,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,5471.8,95,0,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,4,200,,12.50,44.25,0,0.0,-5.250,0.000,6.54,0.000,98.27,1.00,0.51,-0.76,0.52,1.000,0.00,0.04,0.000,0.01,0.45,0.187,-42.0,82.423,0.719,0.000,0,0.38,128.3,0.00,-43.38,112.5,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,5471.8,99,0,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,4,600,,12.50,44.25,0,0.0,-5.250,0.000,6.54,0.000,98.27,1.00,0.53,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,30.8,0.000,0.694,0.000,870,6.90,4.6,0.00,0.00,44.3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5155.7,0C,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,5,034,,12.50,44.25,0,0.0,-5.250,0.000,6.54,0.000,98.27,1.00,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,30.8,0.000,0.694,0.000,870,6.90,4.6,0.00,0.00,44.3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5155.7,0C,1,1,0,1,1,0,1,0,1,600.00,1017.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,5,519,,12.50,44.25,0,0.0,-5.250,0.000,6.54,0.000,98.27,1.00,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,30.8,0.000,0.694,0.000,870,6.90,4.6,0.00,0.00,44.3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5155.7,0C,1,1,0,1,1,0,1,0,1,600.00,1017.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
