<timestamp>|<CAN_ID>|<direction>|<type>|<DLC>|<data_bytes>
0.000000|4f8|Rx|d|8|94C0000000000000
0.004609|6fb|Rx|d|8|0F03FF00FF0000FF
0.011170|3b7|Rx|d|6|00007FC000C0
0.024840|646|Rx|d|8|000000000000000C
0.044141|5ce|Rx|d|3|FEFF00
0.102443|4f8|Rx|d|8|54C0000000000000
0.114689|3b7|Rx|d|6|00007FC000C0
0.135112|350|Rx|d|8|C32F3AF01870A409
0.135112|211|Rx|d|8|8200FFFFA90000A5
0.135112|214|Rx|d|2|FBFE
0.135112|218|Rx|d|1|98
0.135112|4fa|Rx|d|2|0800
0.135112|671|Rx|d|2|0200
0.163055|211|Rx|d|8|8200FFFFA90000B5
0.163055|214|Rx|d|2|FBFE
0.179760|211|Rx|d|8|8200FFFFA90000BF
0.179760|214|Rx|d|2|FBFE
0.184627|350|Rx|d|8|C22F3AF01870A409
0.184627|1b0|Rx|d|4|FF00FFC0
0.184627|4de|Rx|d|3|C00000
0.184627|55d|Rx|d|8|F8FC00C090800000
0.194670|4f8|Rx|d|8|54C0000000000000
0.194670|211|Rx|d|8|8200FFFFA90000C5
0.194670|214|Rx|d|2|FBFE
0.205076|1b0|Rx|d|4|FF00FFC0
0.205076|55d|Rx|d|8|00FC50C090800000
0.205076|5de|Rx|d|8|0000000000000000
0.205076|5df|Rx|d|3|001400
0.214633|3b7|Rx|d|6|00007FC000C0
0.214633|211|Rx|d|8|8200FFFFA90000C9
0.214633|214|Rx|d|2|FBFE
0.214633|350|Rx|d|8|C22F3AF01810A409
0.214633|1b0|Rx|d|4|FF00FFC0
0.214633|392|Rx|d|5|FF00FFF000
0.214633|657|Rx|d|2|C0CC
0.214633|668|Rx|d|2|0000
0.214633|699|Rx|d|8|000003003F000000
0.214633|69f|Rx|d|4|0650859F
0.226717|4ac|Rx|d|5|83752A0080
0.226717|45c|Rx|d|6|00000000FFE0
0.232712|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.232712|90|Rx|d|5|FF0000FF00
0.232712|c6|Rx|d|8|FFFFFFFFFFFF40C5
0.232712|211|Rx|d|8|8200FFFFA90000CC
0.232712|29a|Rx|d|8|FFFFFFFFFFFF0005
0.232712|2b7|Rx|d|5|00E0FFFE00
0.232712|214|Rx|d|2|FBFE
0.232712|218|Rx|d|1|98
0.232712|4fa|Rx|d|2|0800
0.232712|671|Rx|d|2|0200
0.236711|1b0|Rx|d|4|FF00FFC0
0.240708|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.240708|90|Rx|d|5|FF0001B300
0.242706|c6|Rx|d|8|FFFFFFFFFFFF42C3
0.242706|242|Rx|d|8|0000FFEFFE000D00
0.242706|29c|Rx|d|8|FFFFFFFFFFFFFFFF
0.242706|352|Rx|d|4|5C0000FF
0.246704|699|Rx|d|8|000002003F000000
0.252701|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.252701|90|Rx|d|5|FF00026700
0.252701|c6|Rx|d|8|FFFFFFFFFFFF44C1
0.252701|211|Rx|d|8|8200FFFFA90000CE
0.252701|29a|Rx|d|8|FFFFFFFFFFFF0104
0.252701|2b7|Rx|d|5|00E0FFFE00
0.252701|214|Rx|d|2|FBFE
0.252701|5d7|Rx|d|7|FFFF08125200C0
0.256697|1b0|Rx|d|4|FF00FFC0
0.260696|392|Rx|d|5|FF00FFF000
0.260696|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.260696|90|Rx|d|5|FF00032B00
0.260696|c6|Rx|d|8|FFFFFFFFFFFF46BF
0.260696|242|Rx|d|8|0000FFEFFE000D00
0.260696|29c|Rx|d|8|FFFFFFFFFFFFFFFF
0.260696|354|Rx|d|8|FFFF000000000000
0.270689|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.270689|90|Rx|d|5|FF0004D200
0.270689|c6|Rx|d|8|FFFFFFFFFFFF48BD
0.270689|211|Rx|d|8|8200FFFFA90000CF
0.270689|29a|Rx|d|8|FFFFFFFFFFFF0203
0.270689|2b7|Rx|d|5|00E0FFFE00
0.270689|214|Rx|d|2|FBFE
0.270689|666|Rx|d|4|34800008
0.276686|350|Rx|d|8|C22F3AF01810A409
0.276686|1b0|Rx|d|4|FF00FFC0
0.276686|4de|Rx|d|3|C00000
0.276686|55d|Rx|d|8|00FC50C090800000
0.282682|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.282682|90|Rx|d|5|FF00059E00
0.282682|c6|Rx|d|8|FFFFFFFFFFFF4ABB
0.282682|242|Rx|d|8|0000FFEFFE000D00
0.282682|29c|Rx|d|8|FFFFFFFFFFFF0000
0.282682|352|Rx|d|4|5C0000FF
0.292676|4f8|Rx|d|8|54C0000000000000
0.292676|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.292676|90|Rx|d|5|FF00064A00
0.292676|c6|Rx|d|8|FFFFFFFFFFFF4CB9
0.292676|211|Rx|d|8|8200FFFFA90000CF
0.292676|29a|Rx|d|8|00000000000003FC
0.292676|2b7|Rx|d|5|00E0FFFE00
0.292676|214|Rx|d|2|FBFE
0.296673|1b0|Rx|d|4|FF00FFC0
0.296673|5de|Rx|d|8|0000000000000000
0.300670|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.300670|90|Rx|d|5|FF00070600
0.300670|c6|Rx|d|8|FFFFFFFFFFFF4EB7
0.300670|242|Rx|d|8|0000FFEFFE000D00
0.300670|29c|Rx|d|8|00000000FFFF0000
0.300670|354|Rx|d|8|0000000000000000
0.306667|5df|Rx|d|3|001400
0.310665|3b7|Rx|d|6|00007FC000C0
0.310665|392|Rx|d|5|FF00FFF000
0.310665|668|Rx|d|2|0000
0.312664|12e|Rx|d|8|FFFFFFFFF0FFFF00
0.312664|90|Rx|d|5|FF0008A500
